Location ID | Avg Temp (°C) | Species Count | Recent Temp Anomaly (°C)
--------------------------------------------------------------------------------
1           | 22.3          | 5             | 1.05                    | 0.0    
2           | 17.3          | 5             | 1.05                    | 0.0    
3           | 22.4          | 5             | 1.05                    | 0.0    
4           | 21.0          | 10            | 1.05                    | 0.0    
5           | 19.3          | 5             | 1.05                    | 0.0    
6           | 9.8           | 5             | 1.05                    | 0.0    
7           | 22.3          | 5             | 1.05                    | 0.0    
8           | 41.7          | 9             | 1.05                    | 0.0    
9           | 26.6          | 4             | 1.05                    | 0.0    
10          | 26.0          | 4             | 1.05                    | 0.0    
11          | 31.7          | 4             | 1.05                    | 0.0    
12          | 27.3          | 4             | 1.05                    | 0.0    
13          | 15.5          | 4             | 1.05                    | 0.0    
14          | 24.6          | 4             | 1.05                    | 0.0    
15          | 43.7          | 4             | 1.05                    | 0.0    
16          | 28.1          | 4             | 1.05                    | 0.0    
17          | 38.0          | 4             | 1.05                    | 0.0    
18          | 16.1          | 3             | 1.05                    | 0.0    
19          | 39.9          | 3             | 1.05                    | 0.0    
20          | 32.6          | 9             | 1.05                    | 0.0    
